"wilaya_code","wilaya_name","wilaya_name_ar","daira_code","daira_name","daira_name_ar","commune_code","commune_name","commune_name_ar"
"01","Adrar","أدرار","101","Adrar","أدرار","1","Adrar","أدرار"
"01","Adrar","أدرار","101","Adrar","أدرار","6","Bouda","بودة"
"01","Adrar","أدرار","101","Adrar","أدرار","13","Ouled Ahmed Timmi","أولاد أحمد تيمي"
"01","Adrar","أدرار","103","Charouine","شروين","7","Charouine","شروين"
"01","Adrar","أدرار","103","Charouine","شروين","14","Ouled Aissa","أولاد عيسى"
"01","Adrar","أدرار","103","Charouine","شروين","19","Talmine","طالمين"
"01","Adrar","أدرار","104","Reggane","رقان","16","Reggane","رقان"
"01","Adrar","أدرار","104","Reggane","رقان","17","Sali","سالي"
"01","Adrar","أدرار","108","Tsabit","تسابيت","18","Sebaa","السبع"
"01","Adrar","أدرار","108","Tsabit","تسابيت","27","Tsabit","تسابيت"
"01","Adrar","أدرار","109","Timimoun  ","تيميمون","15","Ouled Said","أولاد السعيد"
"01","Adrar","أدرار","109","Timimoun  ","تيميمون","24","Timimoun","تيميمون"
"01","Adrar","أدرار","111","Zaouiat Kounta","زاوية كنتة","10","In Zghmir","إن زغمير"
"01","Adrar","أدرار","111","Zaouiat Kounta","زاوية كنتة","28","Zaouiet Kounta","زاوية كنتة"
"01","Adrar","أدرار","112","Aoulef","أولف","2","Akabli","اقبلي"
"01","Adrar","أدرار","112","Aoulef","أولف","4","Aoulef","أولف"
"01","Adrar","أدرار","112","Aoulef","أولف","22","Timekten","تيمقتن"
"01","Adrar","أدرار","112","Aoulef","أولف","26","Tit","تيت"
"01","Adrar","أدرار","115","Fenoughil","فنوغيل","9","Fenoughil","فنوغيل"
"01","Adrar","أدرار","115","Fenoughil","فنوغيل","20","Tamantit","تامنطيط"
"01","Adrar","أدرار","115","Fenoughil","فنوغيل","21","Tamest","تامست"
"01","Adrar","أدرار","116","Tinerkouk","تنركوك","11","Ksar Kaddour","قصر قدور"
"01","Adrar","أدرار","116","Tinerkouk","تنركوك","25","Tinerkouk","تنركوك"
"01","Adrar","أدرار","123","Aougrout","أوقروت","3","Aougrout","أوقروت"
"01","Adrar","أدرار","123","Aougrout","أوقروت","8","Deldoul","دلدول"
"01","Adrar","أدرار","123","Aougrout","أوقروت","12","Metarfa","المطارفة"
"01","Adrar","أدرار","125","Bordj Badji Mokhtar","برج باجي مختار","5","Bordj Badji Mokhtar","برج باجي مختار"
"01","Adrar","أدرار","125","Bordj Badji Mokhtar","برج باجي مختار","23","Timiaouine","تيمياوين"
"02","Chlef"," الشلف","201","Chlef","الشلف","39","Chlef","الشلف"
"02","Chlef"," الشلف","201","Chlef","الشلف","54","Oum Drou","أم الدروع"
"02","Chlef"," الشلف","201","Chlef","الشلف","55","Sendjas","سنجاس"
"02","Chlef"," الشلف","202","Tenes","تنس","56","Sidi Abderrahmane","سيدي عبد الرحمن"
"02","Chlef"," الشلف","202","Tenes","تنس","57","Sidi Akkacha","سيدي عكاشة"
"02","Chlef"," الشلف","202","Tenes","تنس","62","Tenes","تنس"
"02","Chlef"," الشلف","204","El Karimia","الكريمية","32","Beni  Bouattab","بني بوعتاب"
"02","Chlef"," الشلف","204","El Karimia","الكريمية","42","El Karimia","الكريمية"
"02","Chlef"," الشلف","204","El Karimia","الكريمية","44","Harchoun","حرشون"
"02","Chlef"," الشلف","206","Taougrit","تاوقريت","40","Dahra","الظهرة"
"02","Chlef"," الشلف","206","Taougrit","تاوقريت","61","Taougrit","تاوقريت"
"02","Chlef"," الشلف","207","Beni Haoua","بني حواء","33","Beni Haoua","بني حواء"
"02","Chlef"," الشلف","207","Beni Haoua","بني حواء","37","Breira","بريرة"
"02","Chlef"," الشلف","207","Beni Haoua","بني حواء","49","Oued Goussine","وادي قوسين"
"02","Chlef"," الشلف","210","Ouled Fares","أولاد فارس","38","Chettia","الشطية"
"02","Chlef"," الشلف","210","Ouled Fares","أولاد فارس","46","Labiod Medjadja","الأبيض مجاجة"
"02","Chlef"," الشلف","210","Ouled Fares","أولاد فارس","53","Ouled Fares","أولاد فارس"
"02","Chlef"," الشلف","212","Boukadir","بوقادير","35","Boukadir","بوقادير"
"02","Chlef"," الشلف","212","Boukadir","بوقادير","50","Oued Sly","وادي سلي"
"02","Chlef"," الشلف","212","Boukadir","بوقادير","58","Sobha","الصبحة"
"02","Chlef"," الشلف","220","Zeboudja","الزبوجة","31","Benairia","بنايرية"
"02","Chlef"," الشلف","220","Zeboudja","الزبوجة","36","Bouzeghaia","بوزغاية"
"02","Chlef"," الشلف","220","Zeboudja","الزبوجة","63","Zeboudja","الزبوجة"
"02","Chlef"," الشلف","222","Abou El Hassane","أبو الحسن","29","Abou El Hassane","أبو الحسن"
"02","Chlef"," الشلف","222","Abou El Hassane","أبو الحسن","59","Tadjena","تاجنة"
"02","Chlef"," الشلف","222","Abou El Hassane","أبو الحسن","60","Talassa","تلعصة"
"02","Chlef"," الشلف","223","El Marsa","المرسى","43","El Marsa","المرسى"
"02","Chlef"," الشلف","223","El Marsa","المرسى","47","Moussadek","مصدق"
"02","Chlef"," الشلف","229","Oued Fodda","وادي الفضة","34","Beni Rached","بني راشد"
"02","Chlef"," الشلف","229","Oued Fodda","وادي الفضة","48","Oued Fodda","وادي الفضة"
"02","Chlef"," الشلف","229","Oued Fodda","وادي الفضة","51","Ouled Abbes","أولاد عباس"
"02","Chlef"," الشلف","230","Ouled Ben Abdelkader","أولاد بن عبد القادر","41","El Hadjadj","الحجاج"
"02","Chlef"," الشلف","230","Ouled Ben Abdelkader","أولاد بن عبد القادر","52","Ouled Ben Abdelkader","أولاد بن عبد القادر"
"02","Chlef"," الشلف","232","Ain Merane","عين مران","30","Ain Merane","عين مران"
"02","Chlef"," الشلف","232","Ain Merane","عين مران","45","Herenfa","الهرانفة"
"03","Laghouat","الأغواط","301","Laghouat","الأغواط","79","Laghouat","الأغواط"
"03","Laghouat","الأغواط","302","Ksar El Hirane","قصر الحيران","68","Benacer Benchohra","بن ناصر بن شهرة"
"03","Laghouat","الأغواط","302","Ksar El Hirane","قصر الحيران","78","Ksar El Hirane","قصر الحيران"
"03","Laghouat","الأغواط","304","Sidi Makhlouf","سيدي مخلوف","70","El Assafia","العسافية"
"03","Laghouat","الأغواط","304","Sidi Makhlouf","سيدي مخلوف","84","Sidi Makhlouf","سيدي مخلوف"
"03","Laghouat","الأغواط","306","Hassi R'mel","حاسي الرمل","75","Hassi Delaa","حاسي الدلاعة"
"03","Laghouat","الأغواط","306","Hassi R'mel","حاسي الرمل","76","Hassi R'mel","حاسي الرمل"
"03","Laghouat","الأغواط","307","Ain Madhi","عين ماضي","65","Ain Madhi","عين ماضي"
"03","Laghouat","الأغواط","307","Ain Madhi","عين ماضي","72","El Haouaita","الحويطة"
"03","Laghouat","الأغواط","307","Ain Madhi","عين ماضي","77","Kheneg","الخنق"
"03","Laghouat","الأغواط","307","Ain Madhi","عين ماضي","85","Tadjemout","تاجموت"
"03","Laghouat","الأغواط","307","Ain Madhi","عين ماضي","86","Tadjrouna","تاجرونة"
"03","Laghouat","الأغواط","310","Gueltat Sidi Saad","قتلة سيدي سعيد","66","Ain Sidi Ali","عين سيدي علي"
"03","Laghouat","الأغواط","310","Gueltat Sidi Saad","قتلة سيدي سعيد","67","El Beidha","البيضاء"
"03","Laghouat","الأغواط","310","Gueltat Sidi Saad","قتلة سيدي سعيد","73","Gueltat Sidi Saad","قلتة سيدي سعد"
"03","Laghouat","الأغواط","313","Brida","بريدة","69","Brida","بريدة"
"03","Laghouat","الأغواط","313","Brida","بريدة","74","Hadj Mechri","الحاج مشري"
"03","Laghouat","الأغواط","313","Brida","بريدة","87","Taouiala","تاويالة"
"03","Laghouat","الأغواط","314","El Ghicha","الغيشة","71","El Ghicha","الغيشة"
"03","Laghouat","الأغواط","319","Aflou","أفلو","64","Aflou","أفلو"
"03","Laghouat","الأغواط","319","Aflou","أفلو","82","Sebgag","سبقاق"
"03","Laghouat","الأغواط","319","Aflou","أفلو","83","Sidi Bouzid","سيدي بوزيد"
"03","Laghouat","الأغواط","321","Oued Morra","وادي مرة","80","Oued Morra","وادي مرة"
"03","Laghouat","الأغواط","321","Oued Morra","وادي مرة","81","Oued M'zi","وادي مزي"
"04","Oum El Bouaghi","أم البواقي","401","Oum El Bouaghi","أم البواقي","94","Ain Zitoun","عين الزيتون"
"04","Oum El Bouaghi","أم البواقي","401","Oum El Bouaghi","أم البواقي","112","Oum El Bouaghi","أم البواقي"
"04","Oum El Bouaghi","أم البواقي","402","Ain Beida","عين البيضاء","89","Ain Beida","عين البيضاء"
"04","Oum El Bouaghi","أم البواقي","402","Ain Beida","عين البيضاء","96","Berriche","بريش"
"04","Oum El Bouaghi","أم البواقي","402","Ain Beida","عين البيضاء","116","Zorg","الزرق"
"04","Oum El Bouaghi","أم البواقي","403","Ain M'lila","عين مليلة","93","Ain M'lila","عين مليلة"
"04","Oum El Bouaghi","أم البواقي","403","Ain M'lila","عين مليلة","109","Ouled Gacem","أولاد قاسم"
"04","Oum El Bouaghi","أم البواقي","403","Ain M'lila","عين مليلة","110","Ouled Hamla","أولاد حملة"
"04","Oum El Bouaghi","أم البواقي","406","Sigus","سيقوس","99","El Amiria","العامرية"
"04","Oum El Bouaghi","أم البواقي","406","Sigus","سيقوس","114","Sigus","سيقوس"
"04","Oum El Bouaghi","أم البواقي","408","Ain Babouche","عين ببوش","88","Ain Babouche","عين ببوش"
"04","Oum El Bouaghi","أم البواقي","408","Ain Babouche","عين ببوش","90","Ain Diss","عين الديس"
"04","Oum El Bouaghi","أم البواقي","411","Dhalaa","الضلعة","98","Dhalaa","الضلعة"
"04","Oum El Bouaghi","أم البواقي","411","Dhalaa","الضلعة","101","El Djazia","الجازية"
"04","Oum El Bouaghi","أم البواقي","412","Ain Kercha","عين كرشة","92","Ain Kercha","عين كرشة"
"04","Oum El Bouaghi","أم البواقي","412","Ain Kercha","عين كرشة","103","El Harmilia","الحرملية"
"04","Oum El Bouaghi","أم البواقي","412","Ain Kercha","عين كرشة","105","Hanchir Toumghani","هنشير تومغني"
"04","Oum El Bouaghi","أم البواقي","416","F'kirina","فكيرينة","104","Fkirina","فكيرينة"
"04","Oum El Bouaghi","أم البواقي","416","F'kirina","فكيرينة","108","Oued Nini","وادي نيني"
"04","Oum El Bouaghi","أم البواقي","417","Souk Naamane","سوق نعمان","97","Bir Chouhada","بئر الشهداء"
"04","Oum El Bouaghi","أم البواقي","417","Souk Naamane","سوق نعمان","111","Ouled Zouai","أولاد زواي"
"04","Oum El Bouaghi","أم البواقي","417","Souk Naamane","سوق نعمان","115","Souk Naamane","سوق نعمان"
"04","Oum El Bouaghi","أم البواقي","422","Ksar Sbahi","قصر الصباحي","106","Ksar Sbahi","قصر الصباحي"
"04","Oum El Bouaghi","أم البواقي","424","Meskiana","مسكيانة","95","Behir Chergui","بحير الشرقي"
"04","Oum El Bouaghi","أم البواقي","424","Meskiana","مسكيانة","100","El Belala","البلالة"
