id,commune_name,commune_name_ascii,daira_name,daira_name_ascii,wilaya_code,wilaya_name,wilaya_name_ascii
22,تيمقتن,Timekten,أولف,Aoulef,01,أدرار,Adrar
6,بودة,Bouda,أدرار,Adrar,01,أدرار,Adrar
13,أولاد أحمد تيمي,Ouled Ahmed Timmi,أدرار,Adrar,01,أدرار,Adrar
1,أدرار,Adrar,أدرار,Adrar,01,أدرار,Adrar
9,فنوغيل,Fenoughil,فنوغيل,Fenoughil,01,أدرار,Adrar
10,إن زغمير,In Zghmir,زاوية كنتة,Zaouiat Kounta,01,أدرار,Adrar
16,رقان,Reggane,رقان,Reggane,01,أدرار,Adrar
17,سالي,Sali,رقان,Reggane,01,أدرار,Adrar
18,السبع,Sebaa,تسابيت,Tsabit,01,أدرار,Adrar
27,تسابيت,Tsabit,تسابيت,Tsabit,01,أدرار,Adrar
21,تامست,Tamest,فنوغيل,Fenoughil,01,أدرار,Adrar
20,تامنطيط,Tamantit,فنوغيل,Fenoughil,01,أدرار,Adrar
26,تيت,Tit,أولف,Aoulef,01,أدرار,Adrar
28,زاوية كنتة,Zaouiet Kounta,زاوية كنتة,Zaouiat Kounta,01,أدرار,Adrar
2,اقبلي,Akabli,أولف,Aoulef,01,أدرار,Adrar
4,أولف,Aoulef,أولف,Aoulef,01,أدرار,Adrar
60,تلعصة,Talassa,أبو الحسن,Abou El Hassane,02," الشلف",Chlef
63,الزبوجة,Zeboudja,الزبوجة,Zeboudja,02," الشلف",Chlef
41,الحجاج,El Hadjadj,أولاد بن عبد القادر,Ouled Ben Abdelkader,02," الشلف",Chlef
52,أولاد بن عبد القادر,Ouled Ben Abdelkader,أولاد بن عبد القادر,Ouled Ben Abdelkader,02," الشلف",Chlef
30,عين مران,Ain Merane,عين مران,Ain Merane,02," الشلف",Chlef
37,بريرة,Breira,بني حواء,Beni Haoua,02," الشلف",Chlef
51,أولاد عباس,Ouled Abbes,وادي الفضة,Oued Fodda,02," الشلف",Chlef
48,وادي الفضة,Oued Fodda,وادي الفضة,Oued Fodda,02," الشلف",Chlef
34,بني راشد,Beni Rached,وادي الفضة,Oued Fodda,02," الشلف",Chlef
45,الهرانفة,Herenfa,عين مران,Ain Merane,02," الشلف",Chlef
59,تاجنة,Tadjena,أبو الحسن,Abou El Hassane,02," الشلف",Chlef
43,المرسى,El Marsa,المرسى,El Marsa,02," الشلف",Chlef
39,الشلف,Chlef,الشلف,Chlef,02," الشلف",Chlef
54,أم الدروع,Oum Drou,الشلف,Chlef,02," الشلف",Chlef
55,سنجاس,Sendjas,الشلف,Chlef,02," الشلف",Chlef
56,سيدي عبد الرحمن,Sidi Abderrahmane,تنس,Tenes,02," الشلف",Chlef
57,سيدي عكاشة,Sidi Akkacha,تنس,Tenes,02," الشلف",Chlef
62,تنس,Tenes,تنس,Tenes,02," الشلف",Chlef
32,بني بوعتاب,Beni  Bouattab,الكريمية,El Karimia,02," الشلف",Chlef
42,الكريمية,El Karimia,الكريمية,El Karimia,02," الشلف",Chlef
44,حرشون,Harchoun,الكريمية,El Karimia,02," الشلف",Chlef
36,بوزغاية,Bouzeghaia,الزبوجة,Zeboudja,02," الشلف",Chlef
61,تاوقريت,Taougrit,تاوقريت,Taougrit,02," الشلف",Chlef
33,بني حواء,Beni Haoua,بني حواء,Beni Haoua,02," الشلف",Chlef
29,أبو الحسن,Abou El Hassane,أبو الحسن,Abou El Hassane,02," الشلف",Chlef
49,وادي قوسين,Oued Goussine,بني حواء,Beni Haoua,02," الشلف",Chlef
