id,commune_name,daira_name,wilaya_code,wilaya_name
22,تيمقتن,أولف,01,أدرار
6,بودة,أدرار,01,أدرار
13,أولاد أحمد تيمي,أدرار,01,أدرار
1,أدرار,أدرار,01,أدرار
9,فنوغيل,فنوغيل,01,أدرار
10,إن زغمير,زاوية كنتة,01,أدرار
16,رقان,رقان,01,أدرار
17,سالي,رقان,01,أدرار
18,السبع,تسابيت,01,أدرار
27,تسابيت,تسابيت,01,أدرار
21,تامست,فنوغيل,01,أدرار
20,تامنطيط,فنوغيل,01,أدرار
26,تيت,أولف,01,أدرار
28,زاوية كنتة,زاوية كنتة,01,أدرار
2,اقبلي,أولف,01,أدرار
4,أولف,أولف,01,أدرار
60,تلعصة,أبو الحسن,02," الشلف"
63,الزبوجة,الزبوجة,02," الشلف"
41,الحجاج,أولاد بن عبد القادر,02," الشلف"
52,أولاد بن عبد القادر,أولاد بن عبد القادر,02," الشلف"
30,عين مران,عين مران,02," الشلف"
37,بريرة,بني حواء,02," الشلف"
51,أولاد عباس,وادي الفضة,02," الشلف"
48,وادي الفضة,وادي الفضة,02," الشلف"
34,بني راشد,وادي الفضة,02," الشلف"
45,الهرانفة,عين مران,02," الشلف"
59,تاجنة,أبو الحسن,02," الشلف"
43,المرسى,المرسى,02," الشلف"
39,الشلف,الشلف,02," الشلف"
54,أم الدروع,الشلف,02," الشلف"
55,سنجاس,الشلف,02," الشلف"
56,سيدي عبد الرحمن,تنس,02," الشلف"
57,سيدي عكاشة,تنس,02," الشلف"
62,تنس,تنس,02," الشلف"
32,بني بوعتاب,الكريمية,02," الشلف"
42,الكريمية,الكريمية,02," الشلف"
44,حرشون,الكريمية,02," الشلف"
36,بوزغاية,الزبوجة,02," الشلف"
61,تاوقريت,تاوقريت,02," الشلف"
33,بني حواء,بني حواء,02," الشلف"
29,أبو الحسن,أبو الحسن,02," الشلف"
49,وادي قوسين,بني حواء,02," الشلف"
38,الشطية,أولاد فارس,02," الشلف"
47,مصدق,المرسى,02," الشلف"
53,أولاد فارس,أولاد فارس,02," الشلف"
35,بوقادير,بوقادير,02," الشلف"
50,وادي سلي,بوقادير,02," الشلف"
58,الصبحة,بوقادير,02," الشلف"
31,بنايرية,الزبوجة,02," الشلف"
46,الأبيض مجاجة,أولاد فارس,02," الشلف"
40,الظهرة,تاوقريت,02," الشلف"
67,البيضاء,قتلة سيدي سعيد,03,الأغواط
73,قلتة سيدي سعد,قتلة سيدي سعيد,03,الأغواط
69,بريدة,بريدة,03,الأغواط
66,عين سيدي علي,قتلة سيدي سعيد,03,الأغواط
85,تاجموت,عين ماضي,03,الأغواط
74,الحاج مشري,بريدة,03,الأغواط
87,تاويالة,بريدة,03,الأغواط
71,الغيشة,الغيشة,03,الأغواط
86,تاجرونة,عين ماضي,03,الأغواط
82,سبقاق,أفلو,03,الأغواط
83,سيدي بوزيد,أفلو,03,الأغواط
80,وادي مرة,وادي مرة,03,الأغواط
79,الأغواط,الأغواط,03,الأغواط
81,وادي مزي,وادي مرة,03,الأغواط
78,قصر الحيران,قصر الحيران,03,الأغواط
70,العسافية,سيدي مخلوف,03,الأغواط
84,سيدي مخلوف,سيدي مخلوف,03,الأغواط
75,حاسي الدلاعة,حاسي الرمل,03,الأغواط
76,حاسي الرمل,حاسي الرمل,03,الأغواط
65,عين ماضي,عين ماضي,03,الأغواط
72,الحويطة,عين ماضي,03,الأغواط
77,الخنق,عين ماضي,03,الأغواط
68,بن ناصر بن شهرة,قصر الحيران,03,الأغواط
64,أفلو,أفلو,03,الأغواط
104,فكيرينة,فكيرينة,04,أم البواقي
102,الفجوج بوغرارة سعودي,عين فكرون,04,أم البواقي
91,عين فكرون,عين فكرون,04,أم البواقي
113,الرحية,مسكيانة,04,أم البواقي
107,مسكيانة,مسكيانة,04,أم البواقي
100,البلالة,مسكيانة,04,أم البواقي
95,بحير الشرقي,مسكيانة,04,أم البواقي
106,قصر الصباحي,قصر الصباحي,04,أم البواقي
115,سوق نعمان,سوق نعمان,04,أم البواقي
111,أولاد زواي,سوق نعمان,04,أم البواقي
112,أم البواقي,أم البواقي,04,أم البواقي
88,عين ببوش,عين ببوش,04,أم البواقي
94,عين الزيتون,أم البواقي,04,أم البواقي
97,بئر الشهداء,سوق نعمان,04,أم البواقي
89,عين البيضاء,عين البيضاء,04,أم البواقي
96,بريش,عين البيضاء,04,أم البواقي
116,الزرق,عين البيضاء,04,أم البواقي
93,عين مليلة,عين مليلة,04,أم البواقي
109,أولاد قاسم,عين مليلة,04,أم البواقي
110,أولاد حملة,عين مليلة,04,أم البواقي
99,العامرية,سيقوس,04,أم البواقي
114,سيقوس,سيقوس,04,أم البواقي
108,وادي نيني,فكيرينة,04,أم البواقي
90,عين الديس,عين ببوش,04,أم البواقي
98,الضلعة,الضلعة,04,أم البواقي
101,الجازية,الضلعة,04,أم البواقي
92,عين كرشة,عين كرشة,04,أم البواقي
103,الحرملية,عين كرشة,04,أم البواقي
105,هنشير تومغني,عين كرشة,04,أم البواقي
150,معافة,عين التوتة,05,باتنة
139,القصبات,رأس العيون,05,باتنة
176,تيمقاد,تيمقاد,05,باتنة
170,تاكسلانت,أولاد سي سليمان,05,باتنة
161,أولاد سي سليمان,أولاد سي سليمان,05,باتنة
148,لمسان,أولاد سي سليمان,05,باتنة
169,تالخمت,رأس العيون,05,باتنة
164,رأس العيون,رأس العيون,05,باتنة
163,الرحبات,رأس العيون,05,باتنة
160,أولاد سلام,رأس العيون,05,باتنة
140,القيقبة,رأس العيون,05,باتنة
172,ثنية العابد,ثنية العابد,05,باتنة
123,باتنة,باتنة,05,باتنة
136,فسديس,باتنة,05,باتنة
154,وادي الشعبة,باتنة,05,باتنة
141,حيدوسة,مروانة,05,باتنة
145,قصر بلزمة,مروانة,05,باتنة
152,مروانة,مروانة,05,باتنة
155,وادي الماء,مروانة,05,باتنة
147,لازرو,سريانة,05,باتنة
167,سريانة,سريانة,05,باتنة
177,زانة البيضاء,سريانة,05,باتنة
151,منعة,منعة,05,باتنة
174,تغرغار,منعة,05,باتنة
119,عين ياقوت,المعذر,05,باتنة
128,بومية,المعذر,05,باتنة
132,جرمة,المعذر,05,باتنة
135,المعذر,المعذر,05,باتنة
162,عيون العصافير,تازولت,05,باتنة
171,تازولت,تازولت,05,باتنة
127,بومقر,نقاوس,05,باتنة
153,نقاوس,نقاوس,05,باتنة
165,سفيان,نقاوس,05,باتنة
120,أريس,أريس,05,باتنة
173,تيغانمين,أريس,05,باتنة
117,عين جاسر,عين جاسر,05,باتنة
