post_code,post_name,post_address,commune_id,commune_name,daira_name,wilaya_code,wilaya_name
01000,أدرار - القبّاضة الرّئيسيّة,أدرار وسط، شارع الشّهداء,1,أدرار,أدرار,01,أدرار
01002,أدرار - سيدي محمد بالكبير,حي 140 مسكنّ، أدرار الجديدة,1,أدرار,أدرار,01,أدرار
01003,أولف,دائرة أولف,4,أولف,أولف,01,أدرار
01004,رقان,دائرة رقان وسط,16,رقان,رقان,01,أدرار
01005,أدرار-أوّل نوفمبر 54,حي 400 مسكن، أدرار وسط,1,أدرار,أدرار,01,أدرار
01006,أدرار - الحي الإداري,الحي الإداري، أدرار تيليلان,1,أدرار,أدرار,01,أدرار
01007,زاوية كنتة,دائرة زاوية كنتة,28,زاوية كنتة,زاوية كنتة,01,أدرار
01008,زاوية سيدي عبد القادر,دائرة فنوجيل,9,فنوغيل,فنوغيل,01,أدرار
01009,سالي,بلدية سالي,17,سالي,رقان,01,أدرار
01011,تسابيت,دائرة تسابيت,27,تسابيت,تسابيت,01,أدرار
01015,برينكان,قصر برينكان,27,تسابيت,تسابيت,01,أدرار
01016,أدغا,أدرار - قصر أدغا,1,أدرار,أدرار,01,أدرار
01017,باهو,قصر باهو,17,سالي,رقان,01,أدرار
01018,أدرار - الحي الغربي,أدرار - الحي الغربي,1,أدرار,أدرار,01,أدرار
01019,أوجلان,بلديّة تسابيت,27,تسابيت,تسابيت,01,أدرار
01020,جديد,بلديّة تامست,21,تامست,فنوغيل,01,أدرار
01021,بوفادي,قصر بوفادي,20,تامنطيط,فنوغيل,01,أدرار
01022,صبع,بلدية صبع,18,السبع,تسابيت,01,أدرار
01023,بوده المنصور,بلدية بوده المنصور,6,بودة,أدرار,01,أدرار
01024,الأحمر,بلدية الأحمر,21,تامست,فنوغيل,01,أدرار
01025,أولاد أحمد,بلدية أولاد أحمد,13,أولاد أحمد تيمي,أدرار,01,أدرار
01026,بوده بن ذراعه,بلدية بوده بن ذراعه,6,بودة,أدرار,01,أدرار
01027,ودغة,قصر ودغة,9,فنوغيل,فنوغيل,01,أدرار
01028,تيطاف,بلدية تامست,21,تامست,فنوغيل,01,أدرار
01029,تامنتيط,بلدية تامنتيط,20,تامنطيط,فنوغيل,01,أدرار
01030,ملوكة,قصر ملوكة,13,أولاد أحمد تيمي,أدرار,01,أدرار
01031,تيطاف,قصر تيموكتان,26,تيت,أولف,01,أدرار
01040,بوعلي,قصر بوعلي,28,زاوية كنتة,زاوية كنتة,01,أدرار
01041,عين بلبل,قصر عين بلبل,22,تيمقتن,أولف,01,أدرار
01043,تيموكتان,بلدية تيموكتان,22,تيمقتن,أولف,01,أدرار
01044,أكابلي,قصر أكابلي,2,اقبلي,أولف,01,أدرار
01045,عين زغلوف,قصر عين زغلوف,16,رقان,رقان,01,أدرار
01046,تينورت,بلديّة سالي,17,سالي,رقان,01,أدرار
01047,تيلولين,قصر عين زغمير,10,إن زغمير,زاوية كنتة,01,أدرار
01048,تيمادانين,قصر تيمادانين,16,رقان,رقان,01,أدرار
01049,تيدماين,قصر تيدماين,10,إن زغمير,زاوية كنتة,01,أدرار
01050,تيطاوين الأخرص,بلديّة عين زغمير,10,إن زغمير,زاوية كنتة,01,أدرار
01056,بريش,قصر البريش,17,سالي,رقان,01,أدرار
01057,بوده القمارة,قصر بوده القمارة,6,بودة,أدرار,01,أدرار
01062,أدرار - حي زراري محمد,حي 200 مسكن، أدرار,1,أدرار,أدرار,01,أدرار
01063,أدرار - الجامعة,جامعة أدرار,1,أدرار,أدرار,01,أدرار
01064,أدرار - الحي الجامعي,الحي الجامعي تيليلان,1,أدرار,أدرار,01,أدرار
01065,أدرار - المحطّة البريّة,أدرار، المحطّة البرّيّة,1,أدرار,أدرار,01,أدرار
01067,رقان - الشيخ مولاي عبد الله الرقاني,رقان الجديدة، أدرار,16,رقان,رقان,01,أدرار
01069,تيوريرين,تيوريرين,28,زاوية كنتة,زاوية كنتة,01,أدرار
01071,أدرار - المكتب الماكث-1,,1,أدرار,أدرار,01,أدرار
01073,تانزروفت,تانزروفت,16,رقان,رقان,01,أدرار
01074,أولف - تيديكلت,أولف - تيديكلت,4,أولف,أولف,01,أدرار
04015,بريش,حي بوضياف,17,سالي,رقان,01,أدرار
06138,سيدي عيش - تيمزغرة,سيدي عيش,13,أولاد أحمد تيمي,أدرار,01,أدرار
02000,الشلف - القبّاضة الرّئيسيّة,شارع 20 أوت,39,الشلف,الشلف,02," الشلف"
02001,وادي الفضة - مصالحة,وادي الفضة وسط,48,وادي الفضة,وادي الفضة,02," الشلف"
02002,بوقادير,الطّريق الوطني رقم 04 - بوقادير,35,بوقادير,بوقادير,02," الشلف"
02003,وادي الفضّة,الطّريق الوطني رقم 04 - وادي الفضة,48,وادي الفضة,وادي الفضة,02," الشلف"
02004,عين مران,عين مران وسط,30,عين مران,عين مران,02," الشلف"
02005,الشلف - بن سونة,حي بن سونة,39,الشلف,الشلف,02," الشلف"
02006,تنس,حي قصير، تنس وسط، تنس,62,تنس,تنس,02," الشلف"
02007,الشلف - شطية,ملحقة,38,الشطية,أولاد فارس,02," الشلف"
02008,الكريمية,الكريمية وسط,42,الكريمية,الكريمية,02," الشلف"
02009,سيدي عكاشة,الطريق الوطني رقم 19، سيدي عكاشة,57,سيدي عكاشة,تنس,02," الشلف"
