post_code,post_name,post_address,commune_id,commune_name,daira_name,wilaya_code,wilaya_name
01000,Adrar,Adrar Centre Rue Des Marytim,1,Adrar,Adrar,01,Adrar
01002,Adrar Sidi Med Belekbir,Cité 140 Logts Adrar Djadida,1,Adrar,Adrar,01,Adrar
01003,Aoulef,Daira Aoulef,4,Aoulef,Aoulef,01,Adrar
01004,Reggane,Daira Reggane Centre,16,Reggane,Reggane,01,Adrar
01005,Adrar 1er Nov.54,Cité 400logts Adrar Centre,1,Adrar,Adrar,01,Adrar
01006,Adrar Cité Administrative,Cité Adm Adrar Tillilane,1,Adrar,Adrar,01,Adrar
01007,Zaouiet Kounta,Daira Zt Kounta,28,Zaouiet Kounta,Zaouiat Kounta,01,Adrar
01008,Zaouiet Sidi Aek,Daira Fenougil,9,Fenoughil,Fenoughil,01,Adrar
01009,Sali,APC Sali,17,Sali,Reggane,01,Adrar
01011,T'Sabit,Daira Tsabit,27,Tsabit,Tsabit,01,Adrar
01015,Brinkane,Ksar Brinkane,27,Tsabit,Tsabit,01,Adrar
01016,Adgha,Adrar Ksar Adgha,1,Adrar,Adrar,01,Adrar
01017,Bahou,Ksar Bahou,17,Sali,Reggane,01,Adrar
01018,Adrar Hay El Gharbi,Adrar Hai El Gharbi,1,Adrar,Adrar,01,Adrar
01019,Oudjlane,APC Tsabit,27,Tsabit,Tsabit,01,Adrar
01020,Djedid,APC Tamest,21,Tamest,Fenoughil,01,Adrar
01021,Boufadi,Ksar Boufadi,20,Tamantit,Fenoughil,01,Adrar
01022,Sbaa,APC Sbaa,18,Sebaa,Tsabit,01,Adrar
01023,Bouda El Mansour,APC Bouda El Mansour,6,Bouda,Adrar,01,Adrar
01024,Lahmeur,APC Lahmeur,21,Tamest,Fenoughil,01,Adrar
01025,Ouled Ahmed,APC Oahmed,13,Ouled Ahmed Timmi,Adrar,01,Adrar
01026,Bouda Bendraou,APC Bouda Ben Draou,6,Bouda,Adrar,01,Adrar
01027,Ouadgha,Ksar Oudgha,9,Fenoughil,Fenoughil,01,Adrar
01028,Tittaf,APC Tamest,21,Tamest,Fenoughil,01,Adrar
01029,Tamentit,APC Tamentit,20,Tamantit,Fenoughil,01,Adrar
01030,Melouka,Ksar Mlouka,13,Ouled Ahmed Timmi,Adrar,01,Adrar
01031,Tit,Ksar Timokten,26,Tit,Aoulef,01,Adrar
01040,Bouali,Ksar Bouali,28,Zaouiet Kounta,Zaouiat Kounta,01,Adrar
01041,In Belbel,Ksar Inbelbel,22,Timekten,Aoulef,01,Adrar
01043,Timoktene,APC Timokten,22,Timekten,Aoulef,01,Adrar
01044,Akabli,Ksar Akabli,2,Akabli,Aoulef,01,Adrar
01045,In Zeglouf,Ksar Inzaglouf,16,Reggane,Reggane,01,Adrar
01046,Tinourt,APC Sali,17,Sali,Reggane,01,Adrar
01047,Tillouline,Ksar Inzagmir,10,In Zghmir,Zaouiat Kounta,01,Adrar
01048,Timadanine,Ksar Timadanine,16,Reggane,Reggane,01,Adrar
01049,Tidmaine,Ksar Tidmaine,10,In Zghmir,Zaouiat Kounta,01,Adrar
01050,Tittaouine Lakhrasse,APC Inzagmir,10,In Zghmir,Zaouiat Kounta,01,Adrar
01056,Berriche,Ksar El Berrich,17,Sali,Reggane,01,Adrar
01057,Bouda Leghmara,Ksar Bouda Lagmara,6,Bouda,Adrar,01,Adrar
01062,Adrar Cité Zerrari Med,Hai 200logts Adrar,1,Adrar,Adrar,01,Adrar
01063,Adrar Universite,University Adrar,1,Adrar,Adrar,01,Adrar
01064,Adrar Cité Universitaire,Cité University Tillilane,1,Adrar,Adrar,01,Adrar
01065,Adrar Gare Routiere,Adrar Gare Routierre,1,Adrar,Adrar,01,Adrar
01067,Reggane Cheikh Moulay Abdellah El Reggani,"Reggane El Djadida,Adrar",16,Reggane,Reggane,01,Adrar
01069,Tiouririne,Tiouririne,28,Zaouiet Kounta,Zaouiat Kounta,01,Adrar
01071,Adrar Bureau Itinerant 1,,1,Adrar,Adrar,01,Adrar
01073,Tanzroufte,Tanzroufte,16,Reggane,Reggane,01,Adrar
01074,Aoulef Tidiklete,Aoulef Tidiklete,4,Aoulef,Aoulef,01,Adrar
04015,Berriche,Cité Boudiaf,17,Sali,Reggane,01,Adrar
06138,Sidi Aich Timzaghra,Sidi Aich,13,Ouled Ahmed Timmi,Adrar,01,Adrar
02000,Chlef,Rue Du 20 Aout,39,Chlef,Chlef,02,Chlef
02001,Oued Fodda Moussalaha,Oued Fodda Centre,48,Oued Fodda,Oued Fodda,02,Chlef
02002,Boukadir,Route Nationale Nâ°04 Boukadir,35,Boukadir,Boukadir,02,Chlef
02003,Oued Fodda,Route Nationale Nâ°04 Oued Fodda,48,Oued Fodda,Oued Fodda,02,Chlef
02004,Ain Merane,Ain Merane Centre,30,Ain Merane,Ain Merane,02,Chlef
02005,Chlef Bensouna,Hay Bensouna,39,Chlef,Chlef,02,Chlef
02006,Tenes,Rue Kosier Tenes Centre Tenes,62,Tenes,Tenes,02,Chlef
02007,Chlef Chettia,Annexe,38,Chettia,Ouled Fares,02,Chlef
02008,El Karimia,El Karimia Centre,42,El Karimia,El Karimia,02,Chlef
02009,Sidi Akacha,Route Nationale Nâ°19 Sidi Akkacha,57,Sidi Akkacha,Tenes,02,Chlef
02010,Ouled Fares,Ouled Fares Centre,53,Ouled Fares,Ouled Fares,02,Chlef
02011,Oued Sly,Oued Sly Centre,50,Oued Sly,Boukadir,02,Chlef
02012,Taougrite,Taougrite Centre,61,Taougrit,Taougrit,02,Chlef
02013,Chlef Cité Administrative,Rue De La Resistance,39,Chlef,Chlef,02,Chlef
02014,Zeboudja,Zeboudja Centre,63,Zeboudja,Zeboudja,02,Chlef
02015,El Marsa,El Marsa,43,El Marsa,El Marsa,02,Chlef
02016,Ahmed Khalfaoui,Zone 2,39,Chlef,Chlef,02,Chlef
02017,Beni Haoua,Beni Haoua,33,Beni Haoua,Beni Haoua,02,Chlef
02018,Abou El Hassan,Abou El Hassen,29,Abou El Hassane,Abou El Hassane,02,Chlef
02019,Heumis Ain Beida,La Gare,36,Bouzeghaia,Zeboudja,02,Chlef
02020,Chettia Vsa,Chettia Vsa,38,Chettia,Ouled Fares,02,Chlef
02021,Bouzghaia,Rn19,36,Bouzeghaia,Zeboudja,02,Chlef
02022,Chlef Hai Badr,Zone 3,39,Chlef,Chlef,02,Chlef
02023,Chlef Hay Nasr,Zone 5,39,Chlef,Chlef,02,Chlef
02024,Oum Drou,Oum Drou,54,Oum Drou,Chlef,02,Chlef
02025,Sendjas,Sendjas,55,Sendjas,Chlef,02,Chlef
02026,Boukadir El Houria,Hay El Houria Boukadir,35,Boukadir,Boukadir,02,Chlef
02027,Tenes Mohamed Boudiaf,Tã‰nãˆs Centre,62,Tenes,Tenes,02,Chlef
02028,El Athmania,El Atmania,35,Boukadir,Boukadir,02,Chlef
02029,Ouled Abbes,Ouled Abbes,51,Ouled Abbes,Oued Fodda,02,Chlef
02030,Ouled Ziad,Ouled Ziad,58,Sobha,Boukadir,02,Chlef
02031,Harchoun,Harchoun,44,Harchoun,El Karimia,02,Chlef
02032,Sidi Moussa,Sidi Moussa,40,Dahra,Taougrit,02,Chlef
02033,Sobha,Sobha,58,Sobha,Boukadir,02,Chlef
02034,Bir Saf Saf,Bir Saf Saf,48,Oued Fodda,Oued Fodda,02,Chlef
02035,Beni Rached,Beni Rached,34,Beni Rached,Oued Fodda,02,Chlef
02036,Dahra,Dahra,40,Dahra,Taougrit,02,Chlef
02037,Ouled Ben Abdelkader,Ouled Ben Aek,52,Ouled Ben Abdelkader,Ouled Ben Abdelkader,02,Chlef
02038,Herenfa,Herenfa,45,Herenfa,Ain Merane,02,Chlef
02039,Benaria,Benairia,31,Benairia,Zeboudja,02,Chlef
02040,Ain Serdoune,Ain Serdoune,30,Ain Merane,Ain Merane,02,Chlef
02041,Chlef Sahli,Hay Sahli,39,Chlef,Chlef,02,Chlef
02042,Chlef Lalla Aouda,Hay Lalla Aouda,39,Chlef,Chlef,02,Chlef
02043,Tadjena,Tadjna Centre,59,Tadjena,Abou El Hassane,02,Chlef
02044,El Kalaa Bouhallou,El Kalaa Bouhallou,57,Sidi Akkacha,Tenes,02,Chlef
02045,Chlef Hay Abbad,Hay Abbad,39,Chlef,Chlef,02,Chlef
02046,Guelta,Guelta,43,El Marsa,El Marsa,02,Chlef
02047,Kechachda,Kechachda,36,Bouzeghaia,Zeboudja,02,Chlef
02048,Attatfa,Kherba,36,Bouzeghaia,Zeboudja,02,Chlef
02049,Labiodh Medjadja,Kherrara,39,Chlef,Chlef,02,Chlef
02050,El Hadjadj,El Hadjadj,41,El Hadjadj,Ouled Ben Abdelkader,02,Chlef
02051,Haouch El Ghaba,Haouch El Ghaba,53,Ouled Fares,Ouled Fares,02,Chlef
02052,Zelgou,Zelgou,31,Benairia,Zeboudja,02,Chlef
02053,Chouchaoua,Petit Barrage,42,El Karimia,El Karimia,02,Chlef
02054,Zemoura,Zemoura,52,Ouled Ben Abdelkader,Ouled Ben Abdelkader,02,Chlef
02055,Si Belkacem,Caper,53,Ouled Fares,Ouled Fares,02,Chlef
02056,Oued Sly Hay Houria,Hay Sonelgaz,50,Oued Sly,Boukadir,02,Chlef
02057,Chlef Chegga,Hay Chegga,39,Chlef,Chlef,02,Chlef
02058,Boulefred,Hay Boulefred,50,Oued Sly,Boukadir,02,Chlef
02059,Ouled Fetti,Ouled Fetti,58,Sobha,Boukadir,02,Chlef
02060,Moussadek,Moussadek,47,Moussadek,El Marsa,02,Chlef
02061,Oued Goussine,Oued Goussine,49,Oued Goussine,Beni Haoua,02,Chlef
02062,Vieux Tenes,Vieux Tenes,62,Tenes,Tenes,02,Chlef
02063,Dar El Meddah,Dar El Meddah,59,Tadjena,Abou El Hassane,02,Chlef
02064,Chaarir,Chaarir,62,Tenes,Tenes,02,Chlef
02065,Talassa,Talassa,60,Talassa,Abou El Hassane,02,Chlef
02066,Sidi Abderrahmane,Sidi Abderahmane,56,Sidi Abderrahmane,Tenes,02,Chlef
02067,Reggoun,Reggoun,62,Tenes,Tenes,02,Chlef
02068,Main Sinfita,Main Sinfita,63,Zeboudja,Zeboudja,02,Chlef
02069,Beni Ouazane,Beni Ouazene,52,Ouled Ben Abdelkader,Ouled Ben Abdelkader,02,Chlef
02070,Breira,Breira,37,Breira,Beni Haoua,02,Chlef
02071,Beni Bouatteb,Beni Bouateb,32,Beni  Bouattab,El Karimia,02,Chlef
02072,Chaabnia,Chaabnia,61,Taougrit,Taougrit,02,Chlef
02073,Meddina,Meddina,46,Labiod Medjadja,Ouled Fares,02,Chlef
02074,Ouled Berradjah,Ouled Berradjah,30,Ain Merane,Ain Merane,02,Chlef
02075,Guelaftia,Guelaftia,54,Oum Drou,Chlef,02,Chlef
02076,Beni Oudrene,Beni Oudrene,55,Sendjas,Chlef,02,Chlef
02077,Ouled Bouali,Ouled Bouali,51,Ouled Abbes,Oued Fodda,02,Chlef
02078,Mezaout,Mezaouet,44,Harchoun,El Karimia,02,Chlef
02079,Bouhenyene,Bouhenyenne,34,Beni Rached,Oued Fodda,02,Chlef
02080,Zebabdja,Zebabdja,48,Oued Fodda,Oued Fodda,02,Chlef
02081,Kahloul,Kahloul,29,Abou El Hassane,Abou El Hassane,02,Chlef
