"id","code","nom","nom_ar"
"1","1","Adrar","أدرار"
"2","2","Chlef","الشلف"
"3","3","Laghouat","الأغواط"
"4","4","Oum El Bouaghi","أم البواقي"
"5","5","Batna","باتنة"
"6","6","Béjaïa","بجاية"
"7","7","Biskra","بسكرة"
"8","8","Béchar","بشار"
"9","9","Blida","البليدة"
"10","10","Bouira","البويرة"
"11","11","Tamanrasset","تمنراست"
"12","12","Tébessa","تبسة"
"13","13","Tlemcen","تلمسان"
"14","14","Tiaret","تيارت"
"15","15","Tizi Ouzou","تيزي وزو"
"16","16","Alger","الجزائر"
"17","17","Djelfa","الجلفة"
"18","18","Jijel","جيجل"
"19","19","Sétif","سطيف"
"20","20","Saïda","سعيدة"
"21","21","Skikda","سكيكدة"
"22","22","Sidi Bel Abbès","سيدي بلعباس"
"23","23","Annaba","عنابة"
"24","24","Guelma","قالمة"
"25","25","Constantine","قسنطينة"
"26","26","Médéa","المدية"
"27","27","Mostaganem","مستغانم"
"28","28","M'Sila","المسيلة"
"29","29","Mascara","معسكر"
"30","30","Ouargla","ورقلة"
"31","31","Oran","وهران"
"32","32","El Bayadh","البيض"
"33","33","Illizi","إليزي"
"34","34","Bordj Bou Arreridj","برج بوعريريج"
"35","35","Boumerdès","بومرداس"
"36","36","El Tarf","الطارف"
"37","37","Tindouf","تندوف"
"38","38","Tissemsilt","تسمسيلت"
"39","39","El Oued","الوادي"
"40","40","Khenchela","خنشلة"
"41","41","Souk Ahras","سوق أهراس"
"42","42","Tipaza","تيبازة"
"43","43","Mila","ميلة"
"44","44","Aïn Defla","عين الدفلى"
"45","45","Naâma","النعامة"
"46","46","Aïn Témouchent","عين تموشنت"
"47","47","Ghardaïa","غرداية"
"48","48","Relizane","غليزان"
